event,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,cold_unique,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,dry_unique,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,hot_unique,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,rest_unique,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique,wet_unique
pga_desc,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry,prob,count_irr,count_dry,mean_irr,mean_dry,std_irr,std_dry,min_irr,min_dry,25%_irr,25%_dry,50%_irr,50%_dry,75%_irr,75%_dry,max_irr,max_dry
month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1%,403.0%,403.0%,-2.5%,-66.4%,31.2%,47.8%,-100.0%,-100.0%,-3.4%,-100.0%,8.7%,-100.0%,14.7%,-15.6%,20.6%,39.7%,2.1%,31.0%,31.0%,11.7%,-8.2%,7.2%,0.0%,0.8%,-8.2%,5.2%,-8.2%,5.2%,-8.2%,18.9%,-8.2%,18.9%,-8.2%,66.7%,992.0%,992.0%,1.8%,-29.3%,22.7%,73.9%,-100.0%,-100.0%,0.7%,-100.0%,7.8%,-54.3%,12.6%,6.7%,20.6%,204.4%,35.4%,527.0%,527.0%,7.3%,-0.2%,9.1%,79.7%,-57.1%,-100.0%,3.8%,-60.8%,8.0%,-10.7%,12.3%,17.4%,19.3%,204.4%,25.0%,372.0%,372.0%,-16.9%,-32.8%,31.5%,75.4%,-100.0%,-100.0%,-30.3%,-100.0%,-7.0%,-55.3%,6.4%,-10.6%,24.6%,130.0%,10.4%,155.0%,155.0%,-11.3%,17.3%,18.8%,80.9%,-44.0%,-82.1%,-30.3%,-30.9%,-8.7%,-24.3%,3.3%,93.7%,24.6%,130.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7%,560.0%,560.0%,-16.6%,-80.5%,54.1%,42.2%,-100.0%,-100.0%,-73.0%,-100.0%,7.4%,-100.0%,28.0%,-85.8%,55.7%,55.4%,8.3%,112.0%,112.0%,23.4%,-89.3%,16.8%,11.5%,-28.8%,-100.0%,18.6%,-100.0%,25.0%,-92.1%,34.0%,-81.4%,52.7%,-72.8%,56.2%,761.0%,761.0%,-4.8%,-31.9%,48.8%,79.6%,-100.0%,-100.0%,-32.8%,-100.0%,16.1%,-79.6%,28.0%,35.4%,55.7%,128.5%,22.9%,313.0%,313.0%,22.7%,42.5%,15.9%,66.1%,-15.3%,-79.6%,14.7%,-8.7%,22.0%,53.0%,36.1%,103.6%,46.5%,128.5%,31.2%,422.0%,422.0%,-41.8%,-50.5%,48.7%,57.0%,-100.0%,-100.0%,-89.6%,-100.0%,-41.8%,-100.0%,-3.8%,20.4%,46.2%,55.4%,8.3%,114.0%,114.0%,-15.9%,-0.9%,39.6%,25.5%,-100.0%,-35.9%,-47.5%,-30.4%,-18.2%,4.3%,27.1%,22.4%,38.5%,24.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6%,589.0%,589.0%,-17.9%,-46.4%,58.7%,49.0%,-100.0%,-100.0%,-100.0%,-100.0%,0.1%,-49.1%,31.3%,-25.6%,71.9%,56.1%,10.4%,155.0%,155.0%,14.9%,-25.9%,35.6%,44.1%,-100.0%,-74.7%,-2.6%,-42.8%,21.3%,-42.4%,46.1%,-25.8%,56.1%,56.1%,20.8%,310.0%,310.0%,-28.5%,-13.2%,56.4%,62.0%,-100.0%,-100.0%,-89.3%,-52.6%,-17.5%,-32.4%,16.8%,34.2%,71.9%,121.1%,2.1%,31.0%,31.0%,1.1%,121.1%,15.6%,0.0%,-14.2%,121.1%,-14.2%,121.1%,-5.6%,121.1%,16.8%,121.1%,16.8%,121.1%,39.6%,589.0%,589.0%,-37.5%,-38.9%,50.6%,52.4%,-100.0%,-100.0%,-98.2%,-100.0%,-34.9%,-28.4%,0.1%,-3.0%,61.4%,48.0%,10.4%,155.0%,155.0%,-18.0%,-11.6%,28.9%,48.9%,-81.5%,-99.4%,-34.9%,-14.2%,-9.5%,-7.4%,-2.5%,17.1%,31.6%,46.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4%,510.0%,510.0%,-17.7%,-34.3%,53.9%,35.7%,-100.0%,-100.0%,-58.2%,-47.0%,-1.4%,-33.8%,20.8%,-11.8%,96.2%,18.0%,10.4%,150.0%,150.0%,12.2%,-22.7%,40.5%,43.2%,-100.0%,-100.0%,-10.3%,-33.8%,14.2%,-13.0%,50.1%,15.1%,96.2%,18.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6%,570.0%,570.0%,-20.9%,-20.9%,50.2%,35.8%,-100.0%,-100.0%,-58.2%,-43.8%,-12.0%,-19.6%,17.9%,12.2%,69.5%,30.7%,14.6%,210.0%,210.0%,-5.0%,10.4%,38.3%,17.6%,-85.5%,-25.3%,-28.9%,2.1%,-6.6%,12.2%,14.3%,25.1%,66.1%,30.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.9%,341.0%,341.0%,-35.2%,-38.3%,62.3%,44.8%,-100.0%,-100.0%,-84.5%,-100.0%,-59.7%,-35.6%,6.2%,-5.4%,142.9%,34.9%,8.3%,124.0%,124.0%,-18.9%,-6.4%,62.8%,26.2%,-98.8%,-35.6%,-83.5%,-23.5%,-19.0%,-12.4%,32.1%,4.7%,131.6%,34.9%,27.1%,403.0%,403.0%,-19.3%,-55.4%,63.6%,60.7%,-100.0%,-100.0%,-79.9%,-100.0%,-18.0%,-66.8%,34.1%,-49.2%,142.9%,117.8%,12.5%,186.0%,186.0%,-10.0%,-34.5%,65.3%,76.4%,-100.0%,-100.0%,-53.5%,-100.0%,-18.0%,-63.4%,56.7%,2.0%,112.7%,117.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0%,372.0%,372.0%,-13.2%,-22.5%,67.2%,84.9%,-100.0%,-100.0%,-79.9%,-100.0%,4.8%,-53.5%,34.1%,42.2%,142.9%,149.7%,8.3%,124.0%,124.0%,19.0%,85.7%,67.8%,42.5%,-100.0%,34.3%,4.8%,58.1%,32.0%,79.4%,77.5%,107.0%,106.5%,149.7%,4.2%,62.0%,62.0%,-47.9%,-16.1%,54.4%,26.5%,-100.0%,-42.3%,-84.1%,-42.3%,-67.6%,-16.1%,-17.7%,10.2%,43.6%,10.2%,,,,,,,,,,,,,,,,,
6,93.8%,1350.0%,1350.0%,-11.8%,-8.4%,112.3%,46.3%,-100.0%,-100.0%,-100.0%,-44.4%,-67.0%,-14.4%,50.0%,14.5%,368.0%,102.1%,43.8%,630.0%,630.0%,-4.8%,-6.4%,119.0%,44.7%,-100.0%,-68.5%,-100.0%,-36.5%,-56.5%,-13.1%,55.3%,13.8%,354.3%,102.1%,20.8%,300.0%,300.0%,-8.0%,-2.1%,108.5%,50.1%,-100.0%,-100.0%,-100.0%,-31.3%,-35.6%,-17.2%,50.0%,51.1%,368.0%,69.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4%,150.0%,150.0%,-13.8%,0.2%,98.0%,51.5%,-100.0%,-69.8%,-100.0%,-26.0%,-20.5%,-22.4%,26.5%,57.0%,233.2%,62.4%,,,,,,,,,,,,,,,,,,22.9%,330.0%,330.0%,-32.1%,-25.0%,106.7%,34.4%,-100.0%,-62.4%,-100.0%,-53.0%,-100.0%,-31.3%,-7.0%,-6.9%,368.0%,62.1%,,,,,,,,,,,,,,,,,
7,100.0%,1488.0%,1488.0%,-0.0%,-0.0%,186.5%,80.8%,-100.0%,-100.0%,-100.0%,-60.9%,-100.0%,-11.7%,37.5%,25.6%,933.2%,235.6%,68.8%,1023.0%,1023.0%,26.0%,13.3%,208.3%,88.1%,-100.0%,-96.3%,-100.0%,-56.4%,-100.0%,-0.8%,130.5%,35.5%,933.2%,235.6%,8.3%,124.0%,124.0%,-7.9%,-36.6%,149.2%,60.6%,-100.0%,-100.0%,-100.0%,-95.4%,-100.0%,-35.3%,37.5%,23.5%,347.0%,24.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4%,155.0%,155.0%,-94.5%,-59.1%,37.1%,65.8%,-100.0%,-100.0%,-100.0%,-99.4%,-100.0%,-93.9%,-100.0%,-72.6%,219.7%,70.6%,,,,,,,,,,,,,,,,,,16.7%,248.0%,248.0%,-65.9%,-24.0%,89.0%,29.2%,-100.0%,-66.8%,-100.0%,-40.3%,-100.0%,-19.8%,-100.0%,-9.1%,270.7%,25.0%,,,,,,,,,,,,,,,,,
8,79.2%,1178.0%,1178.0%,-22.9%,-29.2%,88.4%,48.3%,-100.0%,-100.0%,-100.0%,-64.8%,-58.8%,-28.8%,19.9%,1.7%,250.3%,98.4%,60.4%,899.0%,899.0%,-18.2%,-23.9%,94.1%,49.4%,-100.0%,-100.0%,-100.0%,-55.7%,-58.8%,-20.2%,42.9%,6.0%,250.3%,98.4%,2.1%,31.0%,31.0%,-11.5%,-30.8%,99.2%,0.0%,-100.0%,-30.8%,-100.0%,-30.8%,-0.2%,-30.8%,-0.2%,-30.8%,211.8%,-30.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2%,93.0%,93.0%,-10.5%,-7.2%,46.7%,35.1%,-100.0%,-53.2%,-38.2%,-53.2%,-11.9%,0.3%,32.0%,31.3%,122.7%,31.3%,,,,,,,,,,,,,,,,,,12.5%,186.0%,186.0%,-28.1%,-41.3%,93.0%,73.1%,-100.0%,-100.0%,-100.0%,-87.1%,-60.9%,-68.7%,-23.7%,-38.9%,193.3%,115.8%,2.1%,31.0%,31.0%,130.3%,115.8%,75.1%,0.0%,-64.7%,115.8%,114.7%,115.8%,114.7%,115.8%,193.3%,115.8%,193.3%,115.8%
9,4.2%,60.0%,60.0%,-61.2%,-92.4%,29.8%,7.7%,-94.4%,-100.0%,-89.7%,-100.0%,-76.2%,-92.4%,-24.2%,-84.8%,-21.1%,-84.8%,,,,,,,,,,,,,,,,,,12.5%,180.0%,180.0%,13.4%,-4.0%,32.0%,36.2%,-71.7%,-77.4%,-0.2%,-15.6%,16.8%,8.1%,34.1%,23.8%,70.4%,28.7%,10.4%,150.0%,150.0%,19.3%,-1.7%,28.7%,39.3%,-50.9%,-77.4%,8.1%,-1.0%,19.0%,17.1%,34.1%,23.8%,70.4%,28.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3%,120.0%,120.0%,-4.4%,0.5%,34.8%,15.5%,-71.7%,-15.6%,-31.3%,-14.5%,2.1%,-0.0%,23.7%,15.0%,45.6%,17.6%,6.2%,90.0%,90.0%,-0.4%,5.9%,35.2%,14.3%,-55.7%,-14.2%,-31.3%,-14.2%,2.2%,14.2%,33.8%,17.6%,45.6%,17.6%,6.2%,90.0%,90.0%,-53.9%,-81.9%,34.5%,16.2%,-94.4%,-100.0%,-87.8%,-100.0%,-76.2%,-84.8%,-21.1%,-60.8%,-4.6%,-60.8%,2.1%,30.0%,30.0%,-39.3%,-60.8%,39.0%,0.0%,-87.8%,-60.8%,-87.8%,-60.8%,-20.2%,-60.8%,-4.6%,-60.8%,-4.6%,-60.8%
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0%,372.0%,372.0%,8.0%,-29.5%,19.5%,28.1%,-52.1%,-66.4%,-1.6%,-52.4%,11.5%,-37.9%,20.0%,-5.1%,42.3%,20.7%,22.9%,341.0%,341.0%,9.4%,-30.5%,18.5%,29.2%,-52.1%,-66.4%,-1.4%,-56.4%,11.5%,-48.4%,25.6%,4.2%,42.3%,20.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2%,62.0%,62.0%,-5.7%,-4.0%,17.3%,14.4%,-29.7%,-18.3%,-17.4%,-18.3%,-2.7%,-4.0%,4.3%,10.2%,17.0%,10.2%,2.1%,31.0%,31.0%,-4.8%,10.2%,7.4%,0.0%,-15.3%,10.2%,-15.3%,10.2%,-2.7%,10.2%,-2.7%,10.2%,4.3%,10.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1%,390.0%,390.0%,2.2%,-37.9%,10.0%,40.8%,-22.0%,-96.7%,-3.8%,-72.2%,3.4%,-33.3%,8.5%,0.9%,18.2%,30.7%,20.8%,300.0%,300.0%,2.5%,-37.9%,8.8%,45.6%,-22.0%,-96.7%,-3.1%,-79.0%,3.4%,-43.4%,8.4%,2.3%,18.2%,30.7%,4.2%,60.0%,60.0%,8.9%,-26.1%,8.3%,7.3%,-5.2%,-33.3%,5.4%,-33.3%,8.5%,-26.1%,15.8%,-18.9%,18.1%,-18.9%,,,,,,,,,,,,,,,,,,6.2%,90.0%,90.0%,-11.7%,-23.1%,19.2%,31.8%,-40.7%,-60.8%,-22.8%,-60.8%,-13.4%,-25.2%,5.9%,16.6%,18.2%,16.6%,4.2%,60.0%,60.0%,-10.3%,-4.3%,23.2%,21.0%,-40.7%,-25.2%,-27.3%,-25.2%,-14.6%,-4.3%,9.0%,16.6%,18.2%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6%,589.0%,589.0%,1.4%,-72.6%,18.9%,29.7%,-84.4%,-100.0%,0.1%,-98.6%,6.1%,-83.6%,11.1%,-54.6%,23.4%,-9.1%,6.2%,93.0%,93.0%,2.0%,-79.5%,9.2%,16.2%,-16.0%,-98.6%,-6.5%,-98.6%,5.5%,-80.8%,9.8%,-59.1%,12.9%,-59.1%,43.8%,651.0%,651.0%,1.5%,-39.0%,18.0%,59.8%,-84.4%,-100.0%,-2.2%,-95.8%,7.0%,-58.8%,10.4%,-9.1%,23.4%,76.8%,12.5%,186.0%,186.0%,2.7%,25.5%,6.8%,51.6%,-11.7%,-68.7%,-3.7%,-16.9%,7.1%,50.5%,7.3%,60.5%,11.6%,76.8%,14.6%,217.0%,217.0%,-11.8%,-26.6%,25.1%,66.9%,-84.4%,-100.0%,-15.0%,-97.8%,-3.8%,-34.9%,3.9%,34.5%,9.1%,93.7%,2.1%,31.0%,31.0%,-7.3%,93.7%,14.3%,0.0%,-30.5%,93.7%,-17.2%,93.7%,-3.8%,93.7%,3.3%,93.7%,3.3%,93.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
